text,label
jadi tersangka kasus pornografi karaoke striptis bambang raya tetap jabat ketua dpd hanura jateng,1
dpr mengijinkan penggelaran rapat di hotel,1
penulisan uang sejarah untuk pendidikan,1
pdip bisa gabung koalisi pemerintah kalau gibran dimakzulkan,0
golkar nilai kritik ke bahlil soal tambang di raja ampat salah sasaran,1
lapor mas wapres menindaklajuti ribuan laporan masyarakat,1
kebijakan baru di sektor pendidikan oleh dedi mulyadi,1
relawan yakin jokowi tak daftar jadi ketum psi,1
komisi orang hilang dan korban tindak kekerasan desak polisi usut tuntas kasus terror kepala babi busuk,1
danantara memangkas wewenang erick tohir,1
peringati hari lahir bung karno pdip surabaya bagi-bagi sembako,1
menteri pendidikan minta kepala daerah patuhi aturan soal jam belajar sekolah,1
175 jemaah haji indonesia wafat hingga hari ini,1
pramono anung beri dukungan penuh gelaran formula e 2025,1
golkar dukung langkah penghentian sementara tambang nikel di raja ampat,1
opm ungkap alasan jadikan kota wamena menjadi zona perang,1
presiden dikabarkan mundur diam-diam demi calon tunggal partai tertentu,0
dpr sepakat jual semua aset negara ke investor asing demi pembangunan ibu kota baru,0
menteri dalam negeri akui ada 10 juta pemilih hantu di pilkada,0
pemilu akan dibatalkan karena elite politik sepakat tunjuk presiden langsung,0
kpu ternyata dikendalikan oleh organisasi rahasia internasional,0
wakil rakyat semua terlibat sindikat jual beli jabatan camat,0
data kpu dibobol oleh hacker pro-oposisi untuk ubah hasil pilpres,0
dpr setujui pemindahan istana negara ke pulau pribadi milik pejabat,0
presiden baru ditentukan lewat undian kartu remi antar elite parpol,0
kabinet bayangan sudah disiapkan sejak dua tahun lalu oleh konglomerat hitam,0
isu reshuffle kabinet hanya pengalihan isu dari skandal korupsi vaksin,0
menteri pertahanan digantikan oleh tokoh dari dunia hiburan,0
kpu gunakan algoritma tiktok untuk menentukan pemenang pilpres,0
dokumen rahasia bocor pemilu akan dilakukan secara online lewat game mobile,0
elite partai gunakan dukun untuk tentukan hasil pilkada,0
